,Label,Id,Definition,Neurotransmitter,Synonym,"Located in","Has role",Species,CellSomaShape,MolecularConstituents,ExampleImage
":Category:Cerebellum stellate cell","Cerebellum stellate cell",nifext_130,"Multipolar neuron found in cerebellar molecular layer.",:Category:GABA,"Cerebellar stellate neuron,Cerebellar stellate cell",":Category:Cerebellum,:Category:Molecular layer of cerebellar cortex",,:Category:Vertebrata,,,"File:Cerebellum stellate cell.GIF"
":Category:Cerebellum unipolar brush cell","Cerebellum unipolar brush cell",nifext_132,"A type of cell in the cerebellar cortex, first described in 1977 by Altman and Bayer, characterized by a single dendrite ending in a small brush consisting of a number of small dendrites called dendrioles.  Unipolar brush cells are found in primarily in the granular cell layer and most concentrated in lobule IX, the flocculus, the nodulus and the ventromedial zone of the paraflocculus.  Their somata are larger than granule cells but smaller than Golgi cells.  They are known to stain for calretinin.",:Category:Glutamate,"Unipolar brush neuron,Unipolar brush cell",":Category:Granular layer of cerebellar cortex",":Category:Intrinsic neuron role",:Category:Mammal,,:Category:Calretinin,"File:Cerebellum unipolar brush cell.JPG"
":Category:Chemosensory neuron","Chemosensory neuron",nlx_147907,"Any neuron (FBbt_00005106) that functions in (some) detection of chemical stimulus involved in sensory perception (GO:0050907).",,,,,,,,
":Category:Chemosensory neuron of adult labial sensillum 7","Chemosensory neuron of adult labial sensillum 7",nlx_148465,"One of seven chemosensory neuron innervating the adult labial sensillum 7 (Nayak and Singh, 1983).",,,,,,,,
":Category:Chemosensory neuron of adult labial sensillum 8","Chemosensory neuron of adult labial sensillum 8",nlx_148462,"Chemosensory neuron innervating the adult labial sensillum 8 (Nayak and Singh, 1983).",,,,,,,,
":Category:Chemosensory neuron of adult labial sensillum 9","Chemosensory neuron of adult labial sensillum 9",nlx_148464,"Chemosensory neuron innervating the adult labial sensillum 9 (Nayak and Singh, 1983).",,,,,,,,
":Category:Cholinergic neuron (FBbt Term)","Cholinergic neuron (FBbt Term)",nlx_148005,"Any neuron (FBbt_00005106) that releases as a neurotransmitter, some acetylcholine (CHEBI:15355).",,,,,,,,
":Category:Cibarial pump muscle neuron","Cibarial pump muscle neuron",nlx_147733,,,,,,,,,
":Category:Ciliary ganglion cell","Ciliary ganglion cell",sao1366775348,,:Category:Acetylcholine,"Ciliary ganglion neuron",":Category:Ciliary ganglion",,:Category:Vertebrata,,,"File:Ciliary ganglion cell.JPG"
":Category:Ciliated photoreceptor cell","Ciliated photoreceptor cell",nlx_148045,,,,,,,,,
":Category:Class I dendritic arborizing neuron","Class I dendritic arborizing neuron",nlx_148056,"A dendritic arborizing md sensory neuron with a long, dorsally directed primary dendrite which branches repeatedly along its length into antero-posteriorly oriented secondary dendrites. The dendrites are smooth and their branching pattern is relatively simple, with few side branches or varicosities.",,"class I dendritic arborising neuron",,,,,,
":Category:Class II dendritic arborizing neuron","Class II dendritic arborizing neuron",nlx_148057,"A dendritic arborizing md sensory neuron with multiple long and sinuous dendrites. Their branching pattern is relatively symmetrical. Higher order branches are generally short stubs extending from the major trunks.",,"class II da",,,,,,
":Category:Class III dendritic arborizing neuron","Class III dendritic arborizing neuron",nlx_148058,"A dendritic arborizing md sensory neuron with long primary and secondary dendrites that have spiked protrusions along most of their length and at the ends of major branches.",,"class III da",,,,,,
":Category:Class IV dendritic arborizing neuron","Class IV dendritic arborizing neuron",nlx_148059,"A dendritic arborizing md sensory neuron with a highly complex branching pattern that completely fills large regions of the body wall with its arbors. Each cell may have 800-900 terminal branches and more than 6 branch orders.",,"class IV da",,,,,,
":Category:Cochlea inner hair cell","Cochlea inner hair cell",sao429277527,"A pear-shaped epithelial cell that is medially placed re: the inner pillar and forms a single row within the organ of Corti. Resting potential is modulated by perturbations in stereocilia located at the apical pole of the cell. In contrast to outer hair cells, the inner hair cells are fewer in number, have fewer stereocilia, and are less differentiated. They do, however, receive ~95% of the auditory-nerve dendrites.  Although a single auditory nerve fiber innervates several outer hair cells, each inner hair cell receives several more heavily myelinated, auditory-nerve dendrites.  Neurotransmitter release activates the auditory nerve, which leads to the cochlear nucleus within the central auditory pathway.(MSH)",:Category:Glutamate,"Cochlear Inner Hair Cell,Inner Hair Cell,Cochlea hair cell inner",":Category:Spiral organ of Corti",":Category:Principal neuron role,:Category:Sensory reception role",:Category:Mammal,"Category:Pear-shaped ",":Category:Otoferlin,:Category:VGLUT3",
":Category:Cochlea outer hair cell","Cochlea outer hair cell",sao1582628662,"In mammals, the outer hair cells are arranged in three rows that are further removed from the modiolus than the single row of inner hair cells. Although receiving only ~5% of the innervating auditory nerve dendrites, the motile properties of the outer hair cells actively contribute to the sensitivity and frequency selectivity of the cochlea. The process of somatic electromotility, due to the presence of the motor protein, prestin, is essential for normal cochlear function.  Outer hair cell function is also directly influenced by efferent input from the medial superior olivary complex. (MSH)",":Category:Glutamate,:Category:Aspartate","Cochlear Outer Hair Cell,Outer Hair Cell",":Category:Cochlea,:Category:Spiral organ of Corti",":Category:Principal neuron role",:Category:Mammal,"Category:Other ",:Category:Prestin,
":Category:Cochlear nucleus (dorsal) Golgi cell","Cochlear nucleus (dorsal) Golgi cell",nifext_136,,:Category:GABA,"deep cerebellar nucleus GABAergic cell,DCN Gabaergic cell,Dorsal cochlear nucleus gabaergic cell",":Category:Dorsal cochlear nucleus",,:Category:Vertebrata,,,
":Category:Cochlear nucleus (dorsal) cartwheel cell","Cochlear nucleus (dorsal) cartwheel cell",nifext_76,"Cartwheel cell bodies lie on the superficial side of the pyramidal (or fusiform) cell layer of the dorsal cochlear nucleus. Their spiny dendrites receive input from the axons of granule cells (parallel fibers) and their axons release GABA and glycine onto cartwheel, pyramidal and giant cell targets. Cartwheel cells share many of the features, molecular and electrophysiological, of cerebellar Purkinje neurons.",":Category:Glycine,:Category:GABA","Cartwheel neuron",":Category:Somas lie at the superficial side of the pyramidal (fusiform) cell layer of the dorsal cochlear nucleus.",":Category:Intrinsic neuron role",:Category:Mammal,"Category:Spherical ",":Category:PEP19,:Category:Cerebellin,:Category:GAD,:Category:GlyT2",
":Category:Cochlear nucleus (dorsal) giant cell","Cochlear nucleus (dorsal) giant cell",nifext_75,"Large multipolar cells located in the deep layer of the dorsal cochlear nucleus.  Like the pyramidal (fusiform) cells, a principal neuron of the DCN.  Their dendrites, branching sparsely across isofrequency bands, are smooth until they reach the molecular layer, where the tips are spiny.  The axons join pyramidal cell axons to form the DAS (dorsal acoustic stria) through which they project to the contralateral inferior colliculus.",":Category:Likely glutamate",None,":Category:Deep layer of the dorsal cochlear nucleus",":Category:Principal neuron role",:Category:Vertebrata,"Category:Multipolar ",,
":Category:Cochlear nucleus (dorsal) pyramidal neuron","Cochlear nucleus (dorsal) pyramidal neuron",nifext_74,"Bipolar neuron in dorsal cochlear nucleus, whose cell bodies form a band in the pyramidal cell layer.  Characterized by a spiny apical dendritic tree in the molecular layer and a smooth basal dendritic tree in the deep layer.  The apical dendrites have many branches which are contacted by parallel fibers from granule cells, whereas the basal dendrites have few branches and receive inputs from the auditory nerve.",":Category:Excitatory neurotransmitter","fusiform cell,dorsal cochlear nucleus pyramidal cell",":Category:Cochlear nuclear complex",,:Category:Mammal,,,"File:Cochlear nucleus pyramidal neuron.gif"
":Category:Cochlear nucleus (dorsal) stellate cell","Cochlear nucleus (dorsal) stellate cell",nlx_153843,,,,":Category:Dorsal cochlear nucleus",,:Category:Vertebrata,,,
":Category:Cochlear nucleus (dorsal) unipolar brush cell","Cochlear nucleus (dorsal) unipolar brush cell",nifext_135,"Unipolar brush cells are characterized by having one dendrite that terminates in a paintbrush-like structure of dendrioles that receives input from a single mossy fiber terminal.  The axon usually emanates from the opposite pole, branches 1-3 times and ends in mossy terminals.  They were defined by E. Mugnaini and his colleagues in the 1990s.",:Category:Glutamate,"DCN glutamatergic cell,Dorsal cochlear nucleus glutamatergic cell",":Category:Dorsal cochlear nucleus",":Category:Intrinsic neuron role",:Category:Vertebrata,"Category:Spherical ",":Category:Calretinin,:Category:MGluR1alpha,:Category:Epidermal growth factor substrate 8 (Eps8),:Category:T-box gene (Tbr2),:Category:Alpha 6 GABA-A receptor,:Category:Actin",
":Category:Cochlear nucleus (dorsal) vertical cell","Cochlear nucleus (dorsal) vertical cell",nifext_73,"Intrinsic neuron found in the deep layer of the dorsal cochlear nucleus, whose cell bodies and dendrites are intermingled among the basal dendritic trees of pyramidal cells.  Their dendrites are smooth and lie in the plane of an isofrequency sheet; in sections in standard planes, parts of the dendrites are cut so they appear to be oriented vertically, perpendicular to the plane of the layers.  They are inhibitory and use glycine as a neurotransmitter.",:Category:Glycine,"tuberculoventral cell,vertical cell,corn cell",":Category:Dorsal cochlear nucleus deep layer",":Category:Intrinsic neuron role",:Category:Vertebrata,"Category:Multipolar ",,
":Category:Cochlear nucleus (ventral) globular bushy cell","Cochlear nucleus (ventral) globular bushy cell",nifext_70,"The distinction between globular and spherical bushy cells was originally reported by Osen on the basis of a difference in the shape of the cell bodies.  Globular bushy cells lie in and around the root of the auditory nerve.  Their axons project to the contralateral medial nucleus of the trapezoid body (MNTB), innervating principal cells with a calyx of Held.",:Category:Glutamate,,":Category:Ventral cochlear nucleus",":Category:Principal neuron role",:Category:Vertebrata,"Category:Oval ",,
":Category:Cochlear nucleus (ventral) multipolar D cell","Cochlear nucleus (ventral) multipolar D cell",nifext_69,"One of two types of multipolar or stellate cells, D stellate cells are glycinergic inhibitory neurons named for having an axon that projects dorsalward into the dorsal cochlear nucleus and that exits through the intermediate acoustic stria to innervate the contralateral cochlear nucleus.  Axons have widespread collaterals in the ventral cochlear nucleus and in the deep layer of the dorsal cochlear nucleus.",:Category:Glycine,"D multipolar cell,type II (Cant,1981),onset-chopper responses to tones,radial stellate,wide-band inhibitor",":Category:Ventral cochlear nucleus",":Category:Intrinsic neuron role",:Category:Vertebrata,"Category:Multipolar ",:Category:Glycine,
":Category:Cochlear nucleus (ventral) multipolar T cell","Cochlear nucleus (ventral) multipolar T cell",nifext_68,"Principal cells of the ventral cochlear nucleus are named for having the axon exit the cochlear nucleus through the Trapezoid body. A band of dendrites in an isofrequency lamina receives input from a small number of auditory nerve fibers.  Sharp tuning is enhanced by sideband inhibition.  The population of T stellate cells encodes the spectra of sounds.",:Category:Glutamate,"T multipolar cell,T stellate cell,type I,chopper,planar multipolar",":Category:Ventral cochlear nucleus",":Category:Principal neuron role",:Category:Vertebrata,"Category:Multipolar ",,
":Category:Cochlear nucleus (ventral) multipolar cell","Cochlear nucleus (ventral) multipolar cell",nlx_cell_20081202,"Multipolar neuron located in the ventral cochlear nucleus with multiple long dendrites extending from the cell soma.  Two subclasses (D and T) are recognzed based on their alignment with auditory nerve fibers. Both types have axon collaterals that terminate locally near the cell soma.",,,":Category:Cochlear nuclear complex",,:Category:Vertebrata,,,"File:Cochlear nucleus (ventral) multipolar cell.jpg"
